T,B,SU1,SU2,RT1,RT2,RT3,RT4,I1,I2,N1,N2,N3,J
2017,Januari,14835,18172,14183,24728,841756,201048,46800,39938,56324,32492,5994,1296270
2017,Februari,14893,19026,14371,24394,832284,200774,47536,37282,57218,31412,5329,1284519
2017,Maret,13676,17706,13864,23071,789354,197318,41005,35755,55068,30468,5737,1223022
2017,April,15780,20222,15791,26153,893393,224847,47793,38759,63590,34198,6926,1387452
2017,Mei,15698,17508,14863,24681,851205,222635,45794,37655,60998,26452,5915,1323404
2017,Juni,15853,17668,13584,23889,845083,229447,45305,33836,56372,29666,6077,1316780
2017,Juli,17088,19121,16211,25836,864965,231252,48107,37287,57919,32674,5879,1356339
2017,Agustus,15568,18399,15845,24997,842206,232731,52136,40192,61310,28499,6396,1338279
2017,September,17157,20383,17875,26414,881407,246887,52379,43871,63649,36467,6862,1413351
2017,Oktober,14767,18305,13873,22892,801406,230156,47084,35323,60379,23525,5665,1273375
2017,November,16398,20804,16890,25607,883957,261735,53489,39332,66700,28750,6574,1420236
2017,Desember,16111,18714,15842,23888,822685,255916,52079,41570,64539,26940,6292,1344576
2018,Januari,15014,17783,15606,23542,822428,254851,49197,42567,63893,28568,5660,1339109
2018,Februari,16013,18183,15927,24814,860173,260034,51003,43590,66034,30128,5806,1391705
2018,Maret,15324,18405,16033,24175,847069,259634,46870,42158,63261,33649,5773,1372351
2018,April,15901,18324,18435,25702,847320,270383,49394,46880,65364,37372,6555,1401630
2018,Mei,16935,17025,17161,24715,870352,271137,49506,41557,64216,33635,6965,1413204
2018,Juni,18750,19375,18963,25941,911332,283728,50027,39889,60737,32145,6051,1466938
2018,Juli,13929,15291,17737,24237,774140,241164,48779,39873,54898,30168,5733,1265949
2018,Agustus,16627,17928,18127,25344,862558,272153,52469,46793,65040,33279,7086,1417404
2018,September,18006,18306,20184,27067,898383,286508,56538,47624,65967,33582,7133,1479298
2018,Oktober,17524,16606,17402,25084,858010,282635,51125,46678,67095,33773,7422,1423354
2018,November,17424,19052,19219,26570,885652,295305,54176,49724,71882,36251,6874,1482129
2018,Desember,17247,16659,18837,26150,873569,292085,53219,48196,74471,35869,6803,1463105
